insee,no_court,changements,date_notification,id_CAAU,a_compter_du,id_CAAU_old,jusqu_au
version=1.537,chrono=4336041454,dept=42,nb_communes=327,nb_CAAU=19,nb_chgts_pdaa=0,nb_chgts_caau=0,
42035,116117,0,01/01/2000,FR420PDSA,,,
42035,1121,0,01/01/2000,FR790SNSA,,,
42035,1122,0,01/01/2000,FR790SNSB,,,
42035,116111,0,01/01/2000,FR750GPED,,,
42036,15,0,01/01/2000,FR420SAMA,,,
42036,17,0,01/01/2000,FR420PNAB,,,
42036,18,0,01/01/2000,FR420SDIA,,,
42036,112,0,01/01/2000,FR420SDIC,,,
42036,115,0,01/01/2000,FR420C115,,,
42036,191,0,01/01/2000,FR690C191,,,
42036,196,0,01/01/2000,FR620C196,,,
42036,114,0,01/01/2000,FR380C114,,,
42036,119,0,01/01/2000,FR750C119,,,
42036,116000,0,01/01/2000,FR940C116,,,
42036,197,0,01/01/2000,FR920C197,,,
42036,116117,0,01/01/2000,FR420PDSA,,,
42036,1121,0,01/01/2000,FR790SNSA,,,
42036,1122,0,01/01/2000,FR790SNSB,,,
42036,116111,0,01/01/2000,FR750GPED,,,
42037,15,0,01/01/2000,FR420SAMA,,,
42037,17,0,01/01/2000,FR420PNAB,,,
42037,18,0,01/01/2000,FR420SDIA,,,
42037,112,0,01/01/2000,FR420SDIC,,,
42037,115,0,01/01/2000,FR420C115,,,
42037,191,0,01/01/2000,FR690C191,,,
42037,196,0,01/01/2000,FR620C196,,,
42037,114,0,01/01/2000,FR380C114,,,
42037,119,0,01/01/2000,FR750C119,,,
42037,116000,0,01/01/2000,FR940C116,,,
42037,197,0,01/01/2000,FR920C197,,,
42037,116117,0,01/01/2000,FR420PDSA,,,
42037,1121,0,01/01/2000,FR790SNSA,,,
42037,1122,0,01/01/2000,FR790SNSB,,,
42037,116111,0,01/01/2000,FR750GPED,,,
42038,15,0,01/01/2000,FR420SAMA,,,
42038,17,0,01/01/2000,FR420PNAB,,,
42038,18,0,01/01/2000,FR420SDIA,,,
42038,112,0,01/01/2000,FR420SDIC,,,
42038,115,0,01/01/2000,FR420C115,,,
42038,191,0,01/01/2000,FR690C191,,,
42038,196,0,01/01/2000,FR620C196,,,
42038,114,0,01/01/2000,FR380C114,,,
42038,119,0,01/01/2000,FR750C119,,,
42038,116000,0,01/01/2000,FR940C116,,,
42038,197,0,01/01/2000,FR920C197,,,
42038,116117,0,01/01/2000,FR420PDSA,,,
